ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
9.8837,17.3156,-5.4878,-5.4878
9.8849,17.2702,-5.3659,-5.3659
9.8856,17.3506,-5.4878,-5.4878
9.8872,17.2826,-5.4268,-5.4268
9.8876,17.4503,-5.4878,-5.4878
9.8882,17.4110,-5.4878,-5.4878
9.8897,17.3899,-5.4268,-5.4268
9.8903,17.3566,-5.5488,-5.5488
9.8913,17.3069,-5.4878,-5.4878
9.8918,17.3676,-5.4878,-5.4878
9.8934,17.2833,-5.4878,-5.4878
9.8940,17.2408,-5.4268,-5.4268
9.8960,17.3195,-5.3659,-5.3659
9.8963,17.3485,-5.5488,-5.5488
9.8970,17.4120,-5.4878,-5.4878
9.8984,17.4766,-5.5488,-5.5488
9.8991,17.3527,-5.4268,-5.4268
9.8993,17.1599,-5.4268,-5.4268
9.8994,17.3463,-5.4268,-5.4268
9.9007,17.4696,-5.4268,-5.4268
9.9022,17.3758,-5.4268,-5.4268
9.9039,17.4193,-5.3659,-5.3659
9.9052,17.2821,-5.4268,-5.4268
9.9069,17.1740,-5.3659,-5.3659
9.9080,17.2405,-5.4878,-5.4878
9.9084,17.2909,-5.4878,-5.4878
9.9088,17.4699,-5.4878,-5.4878
9.9102,17.5154,-5.4878,-5.4878
9.9107,17.3907,-5.4878,-5.4878
9.9119,17.6303,-5.4268,-5.4268
9.9144,17.3660,-5.4268,-5.4268
9.9155,17.5535,-5.4878,-5.4878
9.9168,17.3977,-5.4878,-5.4878
9.9182,17.3061,-5.4268,-5.4268
9.9177,17.3136,-5.4878,-5.4878
9.9192,17.3694,-5.3659,-5.3659
9.9196,17.4303,-5.4878,-5.4878
9.9207,17.4690,-5.3659,-5.3659
9.9222,17.2544,-5.4268,-5.4268
9.9232,17.5043,-5.4878,-5.4878
9.9243,17.4796,-5.4268,-5.4268
9.9252,17.3168,-5.4268,-5.4268
9.9263,17.5718,-5.4878,-5.4878
9.9284,17.5480,-5.4878,-5.4878
9.9297,17.2886,-5.4268,-5.4268
9.9305,17.3311,-5.4878,-5.4878
9.9306,17.4165,-5.4268,-5.4268
9.9314,17.1969,-5.4268,-5.4268
9.9319,17.2736,-5.4268,-5.4268
9.9320,17.3341,-5.4268,-5.4268
9.9328,17.4693,-5.4268,-5.4268
9.9332,17.4280,-5.4268,-5.4268
9.9333,17.3808,-5.4878,-5.4878
9.9346,17.2155,-5.3659,-5.3659
9.9350,17.4750,-5.4268,-5.4268
9.9366,17.2701,-5.4268,-5.4268
9.9371,17.4105,-5.4268,-5.4268
9.9375,17.4382,-5.4878,-5.4878
9.9392,17.3115,-5.4268,-5.4268
9.9401,17.4631,-5.4878,-5.4878
9.9411,17.6542,-5.4878,-5.4878
9.9426,17.3246,-5.4878,-5.4878
9.9430,17.4204,-5.4878,-5.4878
9.9441,17.3348,-5.3659,-5.3659
9.9445,17.2106,-5.4878,-5.4878
9.9449,17.2488,-5.3659,-5.3659
